Timestamp,SGS5T5NW-CAL (uStrain),SGS5T5NE-CAL (uStrain),SGS5T5M-CAL (uStrain),SGS5T5SW-CAL (uStrain),SGS5T5SE-CAL (uStrain),SGX10Z10NW-CAL (uStrain),SGX10Z10NE-CAL (uStrain),SGX10Z10M-CAL (uStrain),SGX10Z10SW-CAL (uStrain),SGX10Z10SE-CAL (uStrain),SGX11Z11NW-CAL (uStrain),SGX11Z11NE-CAL (uStrain),SGX11Z11M-CAL (uStrain),SGX11Z11SW-CAL (uStrain),SGX11Z11SE-CAL (uStrain),SGZ2ZC2NW-CAL (uStrain),SGZ2ZC2NE-CAL (uStrain),SGZ2ZC2M-CAL (uStrain),SGZ2ZC2SW-CAL (uStrain),SGZ2ZC2SE-CAL (uStrain),SGX4Z4NW-CAL (uStrain),SGX4Z4NE-CAL (uStrain),SGX4Z4M-CAL (uStrain),SGX4Z4SW-CAL (uStrain),SGX4Z4SE-CAL (uStrain),SGV13X13NW-CAL (uStrain),SGV13X13NE-CAL (uStrain),SGV13X13M-CAL (uStrain),SGV13X13SW-CAL (uStrain),SGV13X13SE-CAL (uStrain),SGS15T15NW-CAL (uStrain),SGS15T15NE-CAL (uStrain),SGS15T15M-CAL (uStrain),SGS15T15SW-CAL (uStrain),SGS15T15SE-CAL (uStrain),SGS4T4NW-CAL (uStrain),SGS4T4NE-CAL (uStrain),SGS4T4M-CAL (uStrain),SGS4T4SW-CAL (uStrain),SGS4T4SE-CAL (uStrain),SGV21X21NW-CAL (uStrain),SGV21X21NE-CAL (uStrain),SGV21X21M-CAL (uStrain),SGV21X21SW-CAL (uStrain),SGV21X21SE-CAL (uStrain),SGV22X22NW-CAL (uStrain),SGV22X22NE-CAL (uStrain),SGV22X22M-CAL (uStrain),SGV22X22SW-CAL (uStrain),SGV22X22SE-CAL (uStrain)
2024/02/23 19:00:00,-4.643133,-0.387175,50.528372,3.273587,-1.284413,-0.976697,-0.822468,-0.286741,0.77694,-1.321921,3.069512,-0.812968,1.530438,-1.164732,-1.734512,2.581657,-33.266902,-1.157822,0.620368,10.562288,0.632212,1.110443,0.276377,1.691575,13.943712,-1.012477,-2.561669,0.414565,-2.632244,-3.626954,-1.744136,2.220393,0.101174,-2.900478,7.865146,2.704053,0.626537,-0.74264,-7.109058,-2.942428,0.966086,-0.695878,-3.470505,-0.251454,0.369161,11.284324,-2.38005,2.979368,-4.173445,3.432012
2024/02/23 20:00:00,-5.316802,-0.447632,11.76132,3.54182,-1.477877,-0.541896,-0.954734,-0.547325,0.765342,-1.730564,1.991395,-1.114145,0.431839,-1.435186,-1.110937,3.43201,-36.749008,1.124262,-0.934746,9.877516,0.584833,1.096008,0.199633,1.826802,27.058786,-1.038141,-2.617685,0.415799,-2.580917,-4.069157,-1.321181,2.452599,-1.733278,-3.453972,8.216293,2.564137,-1.458876,-0.783109,-6.84872,-2.992028,0.936597,-1.541295,-3.99118,-0.361017,0.414319,10.872474,-2.077516,2.853937,-4.011326,2.440707
2024/02/23 21:00:00,-3.995128,-0.60951,11.548856,3.251871,-1.54401,-0.671942,-1.106001,-0.55991,0.531902,-1.990655,1.162017,-0.621972,1.120561,-1.330064,-0.968553,4.552571,-38.996296,-0.746958,-3.032004,9.330192,0.69341,1.655177,0.238375,1.882571,12.834256,-1.276516,-2.817071,0.164346,-2.913309,-4.000557,-1.453447,2.701585,-1.765111,-3.625474,8.068481,2.874321,0.545104,-0.869477,-7.833807,-3.12306,0.853807,-1.51267,-4.343067,-0.15028,-0.08316,11.01461,-1.767085,3.726999,-4.304827,3.406727
2024/02/23 22:00:00,-4.424006,-0.471321,10.532678,3.800677,-1.889481,-1.098352,-1.067753,-1.300452,0.420364,-1.926496,0.64381,-0.758309,-1.120561,-1.564491,-2.282825,4.808466,-40.079596,-0.872808,-3.622512,9.230004,0.523636,2.120947,-0.085381,1.647651,33.335502,-0.395565,-2.64853,0.134487,-2.743782,-3.952191,-1.64469,3.180556,-1.703667,-4.269037,7.755582,2.611516,0.662318,-0.437515,-6.876111,-3.714309,0.928207,-1.337961,-3.940346,-0.292663,1.106248,11.123186,-2.666791,3.272372,-4.631791,3.03787
2024/02/23 23:00:00,-5.513721,-0.405682,9.094776,3.281483,-1.303167,-1.260723,-1.544997,-0.444177,0.430605,-2.188313,0.480452,-1.176576,-1.625689,-1.631858,-0.619874,3.890253,-43.618452,-1.398665,-2.110582,11.6562,0.546585,0.919941,-0.144851,2.226809,14.942616,-1.027037,-2.849151,-0.118447,-3.050017,-4.252751,-1.421861,3.410294,-2.157468,-4.624872,8.137821,3.486051,0.481932,-0.416169,-6.8655,-4.281129,1.131542,-1.304894,-4.210801,-0.050093,0.191737,11.527142,-2.011876,3.218332,-4.342257,3.545297
2024/02/24 0:00:00,-5.958885,-0.44171,4.874846,3.443361,-1.824335,-1.467759,-1.734019,-1.517359,0.423202,-1.605701,0.841716,-1.386697,-3.532443,-1.394717,-1.524022,5.751849,-46.645772,-2.3877,-0.006416,13.11088,0.835053,1.015809,-0.514012,2.632984,18.747242,-1.108963,-3.356993,-0.244791,-3.100604,-4.249789,-2.145376,3.56625,-2.20386,-5.158626,8.51932,2.994989,0.210491,-0.515369,-7.379759,-3.359214,0.875153,-2.04667,-5.235369,-0.355589,-0.049106,10.133164,-2.998197,3.03316,-4.682608,1.736209
2024/02/24 1:00:00,-5.106558,-0.875523,5.738277,3.64176,-1.775475,-1.165472,-1.930691,-1.986213,-0.080692,-1.652586,1.668873,-1.381021,-5.865608,-1.661717,-1.064298,5.204277,-48.090332,-1.091689,-0.122149,14.3299,0.805441,1.250112,-0.435294,2.70726,13.69744,-1.642222,-2.836566,-0.598035,-3.320225,-4.631289,-1.837413,4.040779,-2.459015,-5.249929,8.255035,3.134411,0.619627,-0.457256,-6.758158,-4.746774,0.829871,-1.838894,-5.468809,-0.118447,0.279832,11.56539,-2.290474,3.877963,-5.721259,2.263963
2024/02/24 2:00:00,-6.152349,-2.184365,4.631289,3.595615,-1.857155,-0.747452,-2.163884,-2.477522,-0.257623,-1.451473,2.514043,-2.298124,-10.719478,-2.323788,-0.887368,4.706799,-49.405344,-3.277041,-0.447879,14.49696,1.357455,0.645784,-1.202733,3.382657,13.466468,-1.565478,-3.437932,-0.893783,-3.578588,-4.474839,-2.19547,4.349236,-2.550071,-5.473005,7.583093,1.828777,-2.473327,0.138435,-6.621203,-4.626107,0.611607,-2.187326,-5.104584,-0.282299,-0.210491,5.339011,-2.235199,4.02967,-5.893294,1.682913
2024/02/24 3:00:00,-5.398728,-0.655902,-0.097225,4.047689,-2.601892,-1.915638,-2.217925,-3.126021,-0.511421,-2.574254,2.525395,-2.185105,-15.308816,-2.417312,-1.631611,4.787985,-50.251256,-3.890993,-0.124616,14.755816,0.929564,0.048366,-1.356221,4.059534,18.946628,-2.26333,-4.013142,-1.518716,-3.636085,-4.635237,-2.384985,4.324559,-3.17414,-6.377892,7.744231,2.182638,0.208517,-0.84295,-6.1637,-3.871252,0.52672,-2.022981,-5.826125,-0.280572,-0.933759,11.224608,-2.47999,3.884408,-6.238107,1.269931
2024/02/24 4:00:00,-5.63661,-1.220501,-0.698099,3.823133,-2.818552,-1.851973,-2.517745,-2.717378,-5.216369,-2.116011,3.53343,-2.721696,-18.440266,-2.955506,-1.311063,5.21168,-51.03128,-4.545168,0.23418,15.125964,0.938695,-0.756335,-1.818906,4.279648,14.452048,-2.533291,-4.239179,-1.62828,-4.112835,-5.109519,-2.50442,4.297416,-3.458167,-6.319162,7.775077,1.674795,0.1678,-1.603233,-5.374052,-4.892613,0.579775,-1.964744,-5.600582,-0.093524,-0.351394,10.53095,-2.455313,3.508361,-6.466907,1.019316
